area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056.0,2.0,1.0,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2490.0,4.5,3.0,120.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1440.0,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521.0,3.0,1.0,95.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1200.0,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170.0,2.0,1.0,38.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2490.0,4.0,2.0,204.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Unknown,1310.0,3.0,1.0,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,Unknown,1020.0,4.5,2.0,225.0
Super built-up  Area,18-Feb,Whitefield,3 BHK,Unknown,1800.0,2.0,2.0,70.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2490.0,4.5,3.0,225.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000.0,2.0,1.0,38.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,Unknown,1100.0,2.0,2.0,40.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250.0,3.0,2.0,148.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175.0,2.0,2.0,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180.0,3.0,2.0,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540.0,3.0,3.0,60.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Unknown,1100.0,2.0,2.0,48.0
Built-up  Area,Ready To Move,Kengeri,1 BHK,Unknown,600.0,1.0,1.0,15.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755.0,3.0,1.0,122.0
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2490.0,4.5,2.0,225.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Unknown,1767.0,3.0,1.0,103.0
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510.0,1.0,0.0,25.25
Super built-up  Area,18-May,Mangammanapalya,3 BHK,Unknown,1250.0,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660.0,1.0,1.0,23.1
Built-up  Area,20-Dec,Whitefield,3 BHK,Unknown,1610.0,3.0,2.0,81.0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151.0,2.0,2.0,48.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025.0,2.0,1.0,47.0
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,1275.0,4.0,0.0,186.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,123.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693.0,3.0,3.0,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925.0,3.0,2.0,125.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Unknown,1070.0,2.0,1.0,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1290.0,2.0,2.0,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1143.0,2.0,2.0,45.0
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296.0,2.0,2.0,81.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254.0,3.0,2.0,38.0
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600.0,1.0,0.0,38.0
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Unknown,660.0,1.0,0.0,48.0
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,Unknown,600.0,4.5,2.0,200.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970.0,2.0,0.0,33.0
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459.0,2.0,1.0,94.82
Plot  Area,Ready To Move,KR Puram,2 Bedroom,Unknown,800.0,1.0,1.0,130.0
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,Unknown,869.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270.0,2.0,1.0,50.0
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670.0,3.0,1.0,99.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010.0,3.0,2.0,91.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600.0,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,44.0
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,1275.0,2.0,2.0,192.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500.0,2.0,2.0,185.0
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,Unknown,1407.0,4.0,1.0,150.0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,Unknown,840.0,2.0,2.0,45.0
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,Unknown,2490.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845.0,2.0,1.0,55.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,2490.0,4.5,3.0,225.0
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160.0,2.0,2.0,44.0
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,Unknown,2490.0,4.5,0.0,140.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Unknown,1100.0,2.0,1.0,62.0
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140.0,2.0,3.0,43.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1220.0,2.0,1.0,57.0
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,Unknown,1350.0,4.5,0.0,85.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Unknown,1005.0,2.0,1.0,36.68
Plot  Area,Ready To Move,Double Road,3 Bedroom,Unknown,500.0,3.0,2.0,100.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358.0,2.0,1.0,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569.0,3.0,1.0,101.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240.0,2.0,1.0,70.0
